date, meadow height, meadow width, number of waterholes, max iterations number, min cats on start, min cows on start, min mouses on start, min sheeps on start, min wolves on start, max cats on start, max cows on start, max mouses on start, max sheeps on start, max wolves on start, min cats at the end, min cows at the end, min mouses at the end, min sheeps at the end, min wolves at the end, max cats at the end, max cows at the end, max mouses at the end, max sheeps at the end, max wolves at the end, created cheese, max number of cheese, eaten cheese, destroyed cheese, created grass, max number of grass, eaten grass, destroyed grass, current population of cats, current population of cows, current population of mouses, current population of sheeps, current population of wolves, max population of cats, max population of cows, max population of mouses, max population of sheeps, max population of wolves
04.06.2020 14:46:19, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 57, 57, 9, 32, 56, 56, 20, 36, 3, 5, 2, 3, 6, 5, 5, 5, 5, 6
06.06.2020 14:16:58, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 15, 20, 3, 30, 9, 17, 4, 19, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:17:40, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 17, 20, 4, 33, 12, 17, 4, 20, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:19:37, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 15, 20, 3, 30, 9, 17, 4, 19, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 14:46:32, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 26, 31, 31, 362, 34, 46, 9, 378, 0, 0, 0, 0, 0, 7, 5, 5, 5, 6
06.06.2020 14:46:51, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 47, 48, 41, 445, 34, 52, 36, 477, 0, 1, 0, 3, 1, 6, 5, 5, 5, 5
06.06.2020 14:47:54, 20, 20, 30, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 198, 198, 61, 756, 156, 163, 60, 769, 0, 0, 2, 3, 1, 5, 5, 5, 5, 6
06.06.2020 14:49:00, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 205, 218, 69, 825, 170, 180, 72, 849, 6, 4, 3, 4, 6, 6, 5, 5, 5, 6
06.06.2020 14:55:37, 30, 30, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 365, 365, 12, 604, 340, 343, 30, 629, 0, 0, 1, 2, 0, 5, 5, 5, 5, 5
06.06.2020 15:14:38, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 20, 9, 51, 15, 18, 5, 27, 6, 5, 5, 3, 5, 7, 5, 5, 5, 5
06.06.2020 15:15:01, 20, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 71, 71, 22, 187, 67, 91, 19, 194, 0, 1, 1, 0, 0, 5, 5, 5, 5, 5
06.06.2020 17:04:08, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 10, 20, 7, 42, 12, 17, 5, 24, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 17:05:49, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 98, 17, 26, 10, 76, 5, 5, 5, 1, 6, 7, 5, 5, 5, 6
06.06.2020 17:07:43, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 98, 17, 26, 10, 76, 5, 5, 5, 1, 6, 7, 5, 5, 5, 6
06.06.2020 17:07:55, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 29, 36, 16, 179, 21, 38, 26, 169, 4, 5, 2, 4, 6, 5, 5, 5, 5, 6
06.06.2020 17:11:10, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 98, 17, 26, 10, 76, 5, 5, 5, 1, 6, 7, 5, 5, 5, 6
06.06.2020 17:14:13, 50, 10, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 206, 208, 34, 1072, 160, 193, 64, 1114, 0, 8, 0, 1, 0, 5, 9, 5, 5, 5
06.06.2020 17:15:23, 30, 30, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 15, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 605, 618, 47, 2201, 508, 516, 104, 2155, 4, 3, 2, 5, 13, 5, 5, 5, 5, 13
06.06.2020 17:16:12, 25, 25, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 15, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 875, 880, 76, 3184, 714, 736, 149, 3102, 0, 4, 3, 4, 6, 5, 5, 5, 5, 13
06.06.2020 17:17:40, 20, 20, 10, 100, 5, 5, 5, 5, 15, 5, 5, 5, 5, 15, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1018, 1024, 113, 4177, 833, 858, 184, 4095, 0, 0, 1, 0, 15, 5, 5, 5, 5, 26
06.06.2020 17:45:47, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 98, 17, 26, 10, 76, 5, 5, 5, 1, 6, 7, 5, 5, 5, 6
06.06.2020 17:47:37, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 18, 26, 36, 1038, 17, 29, 29, 1002, 0, 0, 0, 0, 0, 7, 5, 5, 5, 7
06.06.2020 17:47:55, 10, 10, 10, 1000, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 26, 27, 36, 1043, 23, 29, 32, 1010, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
06.06.2020 17:50:25, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 11, 14, 1, 12, 11, 13, 1, 4, 6, 5, 5, 4, 5, 6, 5, 5, 5, 5
06.06.2020 17:52:33, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 15, 18, 2, 23, 12, 17, 4, 14, 6, 5, 5, 3, 5, 6, 5, 5, 5, 5
06.06.2020 17:52:55, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 14, 21, 6, 79, -1, 25, 28, 104, 3, 4, 2, 5, 7, 5, 5, 5, 5, 7
06.06.2020 17:52:56, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 14, 21, 6, 79, -1, 25, 28, 104, 3, 4, 2, 5, 7, 5, 5, 5, 5, 7
06.06.2020 17:53:07, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5, 25, 18, 85, -6, 19, 25, 93, 4, 4, 3, 4, 5, 5, 5, 5, 5, 5
06.06.2020 17:54:57, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 98, 17, 26, 10, 76, 5, 5, 5, 1, 6, 7, 5, 5, 5, 6
06.06.2020 17:55:30, 10, 10, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 36, 43, 14, 453, 18, 24, 31, 468, 0, 0, 0, 0, 0, 5, 5, 5, 5, 7
06.06.2020 17:56:29, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 93, 22, 26, 9, 67, 5, 5, 5, 2, 6, 7, 5, 5, 5, 6
06.06.2020 17:56:37, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 23, 8, 47, 5, 21, 14, 53, 5, 3, 4, 5, 5, 7, 5, 5, 5, 5
06.06.2020 17:56:47, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 16, 23, 9, 80, 8, 25, 16, 81, 4, 2, 4, 8, 5, 5, 5, 5, 8, 5
06.06.2020 17:57:14, 10, 10, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 10, 25, 31, 457, 24, 25, 32, 456, 0, 0, 0, 0, 0, 5, 5, 5, 5, 5
06.06.2020 17:58:04, 10, 10, 10, 100, 15, 5, 5, 5, 5, 15, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -3, 26, 4, 493, -323, 18, 323, 516, 0, 221, 0, 0, 0, 15, 253, 5, 5, 5
06.06.2020 17:58:47, 10, 10, 10, 100, 20, 5, 5, 5, 5, 20, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -11, 20, 11, 507, -23, 17, 23, 503, 189, 0, 0, 0, 46, 231, 5, 5, 8, 50
06.06.2020 18:00:12, 10, 10, 10, 1000, 20, 5, 5, 5, 5, 20, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -14, 17, 14, 1184, -43, 13, 43, 1186, 0, 0, 0, 0, 254, 202, 5, 6, 16, 256
06.06.2020 18:00:50, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 93, 22, 26, 9, 67, 5, 5, 5, 2, 6, 7, 5, 5, 5, 6
06.06.2020 18:02:38, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:03:01, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 8, 26, 21, 456, -63, 19, 97, 491, 0, 0, 0, 23, 2, 8, 9, 8, 23, 10
06.06.2020 18:07:49, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:10:48, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:11:18, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -36, 13, 43, 157, -30, 18, 46, 190, 1, 4, 61, 9, 10, 8, 11, 61, 10, 11
06.06.2020 18:50:43, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 461, 461, 18, 479, 472, 472, 59, 531, 0, 0, 0, 0, 234, 9, 11, 8, 8, 237
06.06.2020 18:54:29, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 19, 313, 486, 0, 29, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:55:24, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 29, 45, 21, 456, 34, 43, 97, 491, 0, 0, 0, 23, 2, 8, 9, 8, 23, 10
06.06.2020 18:56:51, 10, 10, 20, 1000, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 36, 9, 490, 0, 31, 56, 470, 214, 1, 0, 0, 14, 227, 8, 9, 11, 14
06.06.2020 18:58:57, 10, 10, 20, 1000, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 26, 0, 517, 0, 18, 27, 493, 0, 0, 0, 0, 214, 0, 22, 0, 0, 245
06.06.2020 19:21:24, 10, 30, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, 124, 48, 572, 125, 133, 55, 623, 1, 3, 3, 2, 4, 11, 8, 9, 9, 11
06.06.2020 19:23:13, 10, 30, 20, 100, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 83, 135, 52, 1421, 89, 136, 49, 1437, 0, 0, 1, 0, 286, 8, 8, 8, 9, 286
06.06.2020 19:23:30, 10, 30, 20, 200, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 13, 0, 0, 17, 17, 0, 0, 8, 8, 8, 9, 20, 8, 8, 8, 9, 20
06.06.2020 19:25:25, 10, 30, 20, 200, 8, 8, 8, 8, 20, 10, 10, 10, 10, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 118, 29, 1729, 0, 122, 59, 1751, 0, 0, 0, 0, 699, 8, 8, 8, 9, 717
06.06.2020 19:54:52, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 28, 18, 479, 0, 34, 59, 531, 0, 0, 0, 0, 234, 9, 11, 8, 8, 237
